ASV_ID	Taxon	F_Group	P_Group	FDR_Group
ASV_00528	Marinilabiliaceae_Alkaliflexus	4.516197364536453	0.07398760741846416	1
ASV_01277	Atopobiaceae_Atopobium	0.03810891137875542	0.07469657002162688	1
ASV_01364	Erysipelotrichaceae_ZOR0006	5.324239578388384	0.07859549136677893	1
ASV_00252	Flavobacteriaceae_Flavobacterium	3.455089207659399	0.08419875287802749	1
ASV_01710	Actinomycetaceae_Actinomyces	5.136749396588504	0.08473094240130986	1
ASV_01224	Staphylococcaceae_Corticicoccus	0.04404156207248798	0.08543765957699145	1
ASV_00237	Muribaculaceae_CAG-873	3.949120077340446	0.08730954908932474	1
ASV_00553	Xanthomonadaceae_Luteimonas	3.4687893344440783	0.08827189881624702	1
ASV_01919	Lachnospiraceae_Lachnospiraceae UCG-007	5.937780617362774	0.09556732799095578	1
ASV_00665	Staphylococcaceae_Salinicoccus	3.694228284166734	0.09593506004009009	1
ASV_00171	Anaerovoracaceae_Family XIII AD3011 group	3.183370017058672	0.09706282891235171	1
ASV_00038	Erysipelotrichaceae_Turicibacter	3.1664523111541945	0.09855917552571279	1
ASV_00015	Ruminococcaceae_Subdoligranulum	3.1653096996939842	0.0986610932702939	1
ASV_00245	Ruminococcaceae_Faecalibacterium	3.1497467863149504	0.10166993911715413	1
ASV_00055	Eubacteriaceae_Pseudoramibacter	3.1452929250580413	0.10207629624372432	1
ASV_02021	Sphingomonadaceae_Sphingomonas	5.059738732766554	0.10314088853560673	1
ASV_01038	Lachnospiraceae_Lachnospiraceae FCS020 group	3.177737364243203	0.10476329779829516	1
ASV_00999	Anaerovoracaceae_Family XIII UCG-001	3.7810774383783308	0.11252100648519116	1
ASV_00347	Erysipelotrichaceae_Breznakia	3.1440646683498903	0.11728145577681856	1
ASV_01884	Propionibacteriaceae_Propioniciclava	4.344560657798689	0.11865279188399959	1
ASV_02215	Unclassified_Unclassified	4.594939970118722	0.12325959121730908	1
ASV_00192	Ruminococcaceae_Unclassified	2.8521749320497265	0.13114261405113573	1
ASV_00356	Prevotellaceae_Prevotellaceae UCG-003	2.8590442688059703	0.1314454847427438	1
ASV_02146	Rikenellaceae_Alistipes	3.545921874134622	0.13711514466509034	1
ASV_00153	Family XI_Murdochiella	2.8536849419078276	0.13718802105842695	1
ASV_00403	Veillonellaceae_Megasphaera	0.07220804932334857	0.13913169223972294	1
ASV_00212	Methanobacteriaceae_Methanosphaera	0.07435764242232248	0.1430581842158381	1
ASV_00995	Monoglobaceae_Monoglobus	0.07514883765878097	0.14451416652039137	1
ASV_00002	Clostridiaceae_Clostridium sensu stricto 1	2.7365211025217917	0.14577796408165258	1
ASV_02159	Salinisphaeraceae_Salinisphaera	3.8500553887830606	0.14902221331394347	1
ASV_01889	Bacillaceae_Bacillus	0.07796886906841549	0.14945406056438804	1
ASV_00446	Flavobacteriaceae_Myroides	2.917750183178152	0.15034539381245549	1
ASV_02060	Eggerthellaceae_Gordonibacter	4.50399549640609	0.15223530159426032	1
ASV_00228	Ruminococcaceae_UBA1819	2.664365547201268	0.15662000941477275	1
ASV_01213	Ruminococcaceae_DTU089	2.822490104660755	0.16645861231584838	1
ASV_01651	Selenomonadaceae_Schwartzia	3.800091830620438	0.17173128794015927	1
ASV_00464	Erysipelotrichaceae_Holdemania	0.09287599888929926	0.1748177582816205	1
ASV_00645	Ruminococcaceae_Caproiciproducens	2.5992172623710856	0.17807514090300805	1
ASV_01706	Lachnospiraceae_[Eubacterium] ventriosum group	3.199265092319109	0.17842864567194583	1
ASV_01476	Lactobacillaceae_Companilactobacillus	0.09598536997665717	0.17977776243555463	1
ASV_01495	Dysgonomonadaceae_Petrimonas	3.443935288963397	0.18182279249134398	1
ASV_01704	Bogoriellaceae_Georgenia	3.143913416507639	0.18431699939786736	1
ASV_01374	Weeksellaceae_Chryseobacterium	3.1256078295956664	0.1863164531400196	1
ASV_01424	Weeksellaceae_Empedobacter	2.850545010913015	0.18815978167591624	1
ASV_00966	Carnobacteriaceae_Lacticigenium	2.545118486206343	0.20264628205346819	1
ASV_01217	Unclassified_Unclassified	2.5538351780331	0.20336083899541513	1
ASV_00119	Family XI_Gallicola	2.3780581740240048	0.2037436326376704	1
ASV_00666	Xanthomonadaceae_Lysobacter	2.4551272336311847	0.21608093704534545	1
ASV_00074	Prevotellaceae_Prevotellaceae NK3B31 group	2.293272647594822	0.219434979627368	1
ASV_01236	Mycoplasmataceae_Mycoplasma	2.5246290981959754	0.22697452861566306	1
ASV_00517	Pseudomonadaceae_Pseudomonas	2.3196474351940486	0.24593411753972189	1
ASV_00296	Lachnospiraceae_[Eubacterium] eligens group	0.1411153260893188	0.2626168128395088	1
ASV_01199	Family XI_Tissierella	2.289157657821839	0.2634491368391529	1
ASV_01381	Unclassified_Unclassified	2.111331078842846	0.2658256240561156	1
ASV_00791	Peptostreptococcaceae_Proteocatella	2.354792269769666	0.2743617476109926	1
ASV_00801	Coriobacteriales Incertae Sedis_Unclassified	2.148782080229346	0.2789172100362096	1
ASV_00549	Planococcaceae_Caryophanon	2.39437988724892	0.30625009014225835	1
ASV_00419	Rikenellaceae_dgA-11 gut group	1.944841688288204	0.30778344878993014	1
ASV_00098	Ruminococcaceae_Fournierella	1.923612168253299	0.3099608592604905	1
ASV_01530	Lachnospiraceae_Acetitomaculum	2.0629032673881276	0.323270630742812	1
ASV_01204	Lachnospiraceae_Oribacterium	1.8818661335513738	0.3449430972391207	1
ASV_02443	Rhizobiaceae_Aminobacter	2.458778191216024	0.36094689573598526	1
ASV_00900	Ruminococcaceae_Pygmaiobacter	0.20219574606570742	0.3638462268366512	1
ASV_00694	Lachnospiraceae_Butyrivibrio	1.7902395644770883	0.3723427968360747	1
ASV_02032	Oscillospiraceae_UCG-007	1.950179241603695	0.38538960155404206	1
ASV_01037	Oscillospiraceae_Oscillospira	1.731299914364997	0.38645640271025333	1
ASV_00504	Oscillospiraceae_Colidextribacter	1.686841736802208	0.3897764573758511	1
ASV_00970	Elusimicrobiaceae_Elusimicrobium	1.8022268498483336	0.4207465125003241	1
ASV_01512	Family XI_Unclassified	0.26388399265883106	0.44374596386336607	1
ASV_00127	Methanobacteriaceae_Methanobrevibacter	1.531661521869491	0.4490161465291106	1
ASV_00027	Aerococcaceae_Aerococcus	1.5050231902322624	0.4605465448423842	1
ASV_00629	Lachnospiraceae_Anaerostipes	0.27551794057359985	0.4777124996444804	1
ASV_00677	Rikenellaceae_Anaerocella	1.6102760148714879	0.48032484118648316	1
ASV_02575	Oscillospiraceae_UCG-003	2.0059632002241985	0.49851252705692667	1
ASV_02196	Rhodobacteraceae_Unclassified	1.6864960461674325	0.504904186627114	1
ASV_01531	Oscillospiraceae_Papillibacter	1.4778883148119997	0.5063788625148394	1
ASV_00333	Rikenellaceae_Rikenellaceae RC9 gut group	1.3864696291802598	0.5156957778630087	1
ASV_01580	Oscillospiraceae_Oscillibacter	1.378405196930771	0.5330783110836169	1
