Comparison	Genus	mean_g1	mean_g2	log2FoldChange	pvalue	p_adj
Group2_vs_Group1	Weissella	4.595747716143713e-5	0.0014236676133458554	1.6724068876126172	0.001536556284141585	0.007851017510212478
Group2_vs_Group1	Anaerovibrio	2.9301032245520415e-5	3.997286748581479e-4	1.6127766304431603	0.0013422696004944943	0.008200581427838626
Group2_vs_Group1	Brevundimonas	5.660740625178345e-4	1.1830522129731888e-4	-1.5795023340557366	0.0019329042117143707	0.009876152906569778
Group2_vs_Group1	Unclassified	0.003968127597478335	0.0013210555249198806	-1.4208148320144434	0.0018488556569358878	0.011295563393104658
Group2_vs_Group1	Prevotella	0.0010187903539028128	0.007610469875329048	1.749928207876363	0.001880900933256364	0.011491343657923918
Group2_vs_Group1	Arcobacter	4.530512092842878e-7	1.5792348887474758e-5	1.7519513547668013	0.002165174397862589	0.01322810927745246
Group2_vs_Group1	Intestinibacter	0.0011341951175381513	0.017532336127148586	1.6985804986584139	0.002833705631260042	0.014478787896949119
Group2_vs_Group1	Lachnoclostridium	4.913281234289047e-4	7.475911325085907e-5	-1.4581665632816145	0.002789035015993737	0.017039578893334
Group2_vs_Group1	Unclassified	4.586643041542811e-5	2.8797831537194995e-4	1.5035814765593356	0.002865301208323321	0.017505526360340293
Group2_vs_Group1	Micrococcus	9.012856741689331e-4	2.5111261892243056e-4	-1.3729475468834873	0.004442176474742784	0.018255075585986772
Group2_vs_Group1	Proteiniclasticum	8.851672914707097e-6	0.0013278161860440952	1.600565704076253	0.0036644475584144487	0.02238790223644448
Group2_vs_Group1	Helcococcus	1.5424627200120265e-4	0.0014247608685032192	1.454728658445216	0.003889758790260584	0.023178227086213483
Group2_vs_Group1	Prevotellaceae UCG-004	3.0383257653255417e-5	3.296807028309794e-4	1.49592766940638	0.003831494146139181	0.023408471535171494
Group2_vs_Group1	Holdemanella	0.009929722079702497	0.004904236047120051	-1.1943725724385825	0.00438357879637768	0.026781426661081156
