Kingdom	Phylum	Class	Order	Family	Genus	0-12	0-13	0-22	0-23	0-32	0-33	0-42	0-43	0-52	0-53	0-62	0-63	0-72	0-73	0-82	0-83	21-11	21-12	21-13	21-21	21-22	21-23	21-31	21-32	21-33	21-41	21-42	21-43	21-51	21-52	21-53	21-61	21-62	21-63	21-71	21-72	21-73	21-81	21-82	21-83	35-11	35-12	35-21	35-22	35-23	35-31	35-32	35-33	35-41	35-42	35-43	35-51	35-52	35-53	35-61	35-62	35-63	35-71	35-72	35-73	35-81	35-82	35-83
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Enteractinococcus	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Garicola	0	0	0	0	0	0	0	0	0	27	0	14	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Glutamicibacter	65	48	687	59	562	807	52	157	136	6	31	173	61	15	46	46	0	0	0	47	0	0	0	0	29	0	6	0	0	0	0	0	0	0	257	145	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	33	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	187	113	609	96	567	390	43	153	184	124	68	727	26	185	32	214	18	0	77	289	18	69	65	0	15	65	26	0	22	36	0	19	13	15	94	534	0	88	0	0	0	0	16	0	0	16	6	0	0	8	0	0	0	0	0	0	0	0	7	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Nesterenkonia	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	0	19	171	18	251	250	35	107	96	0	24	34	64	40	29	32	8	0	0	17	20	10	0	0	39	37	0	0	36	26	0	23	0	0	45	5	0	16	0	0	0	0	18	0	0	0	26	7	134	0	0	19	15	0	11	13	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Unclassified	0	0	0	0	0	0	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcales Incertae Sedis	Timonella	0	0	0	0	25	18	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	21	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Promicromonosporaceae	Cellulosimicrobium	0	0	38	0	41	0	0	0	11	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
