Kingdom	Phylum	Class	Order	Family	0-12	0-13	0-22	0-23	0-32	0-33	0-42	0-43	0-52	0-53	0-62	0-63	0-72	0-73	0-82	0-83	21-11	21-12	21-13	21-21	21-22	21-23	21-31	21-32	21-33	21-41	21-42	21-43	21-51	21-52	21-53	21-61	21-62	21-63	21-71	21-72	21-73	21-81	21-82	21-83	35-11	35-12	35-21	35-22	35-23	35-31	35-32	35-33	35-41	35-42	35-43	35-51	35-52	35-53	35-61	35-62	35-63	35-71	35-72	35-73	35-81	35-82	35-83
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Bogoriellaceae	17	0	78	0	23	20	12	0	19	0	0	0	33	0	0	0	0	0	0	36	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	23	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Brevibacteriaceae	196	49	907	104	271	593	92	199	129	0	20	7	151	0	27	0	544	5	16	333	6	41	38	6	69	76	21	0	32	335	0	32	8	135	253	275	0	271	0	0	8	0	9	0	0	92	25	23	0	0	0	93	3	0	109	0	0	0	0	0	70	24	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Cellulomonadaceae	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Dermabacteraceae	48	18	495	55	215	304	64	172	97	0	80	35	50	24	50	40	129	13	24	188	0	19	32	0	71	102	22	0	23	481	0	0	13	21	355	228	0	263	0	16	19	0	17	0	0	46	29	12	0	8	0	18	0	0	94	0	0	0	16	0	13	22	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Dermatophilaceae	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	5
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	34	0	11	0	0	0	31	0	0	0	0	0	0	0	35	0	20	531	1183	37	5	12	18	16	23	0	27	50	0	9	79	7	30	89	0	38	114	0	135	46	12	70	0	9	40	0	0	17	35	0	56	0	0	97	0	0	0	0	0	19	7	0	158
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Jonesiaceae	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	18	10	0	0	0	0	0	0	0	0	0	0	7	27	71	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	50	129	439	70	412	283	132	327	429	0	22	100	477	25	33	75	183	175	968	225	178	134	189	22	127	267	208	10	124	130	0	46	60	21	924	1129	10	320	17	0	31	15	59	12	0	31	25	34	59	70	67	55	37	25	50	0	11	24	0	17	41	121	20
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	252	180	1472	173	1380	1447	136	422	416	157	123	1011	168	240	107	359	26	0	77	353	38	79	65	0	83	102	32	0	58	62	44	42	13	244	396	690	0	108	0	0	0	0	34	0	0	16	36	7	134	8	0	19	15	0	20	13	0	0	7	0	0	33	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcales Incertae Sedis	0	0	0	0	25	18	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	21	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
